epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,412.35,1.0325,0.67505,1.04832,0.61987,0.67691,0.59381,0.17312,2.59617,1.45626,2.38924,0.001406,0.001406,0.001406
152,414.702,1.0534,0.67912,1.05765,0.67989,0.64151,0.60137,0.1837,2.57677,1.46033,2.36574,0.00140204,0.00140204,0.00140204
153,417.004,1.02037,0.67062,1.04096,0.67989,0.64151,0.60137,0.1837,2.57677,1.46033,2.36574,0.00139808,0.00139808,0.00139808
154,419.447,1.00079,0.65682,1.02638,0.74462,0.53774,0.60336,0.18476,2.58823,1.46247,2.32879,0.00139412,0.00139412,0.00139412
155,422.427,0.96327,0.6432,1.02556,0.7002,0.59434,0.58649,0.19133,2.58217,1.39971,2.31119,0.00139016,0.00139016,0.00139016
156,425.988,1.01557,0.64435,1.03475,0.71336,0.60377,0.59936,0.19909,2.54789,1.34478,2.2371,0.0013862,0.0013862,0.0013862
157,429.127,0.98743,0.64897,1.01918,0.71336,0.60377,0.59936,0.19909,2.54789,1.34478,2.2371,0.00138224,0.00138224,0.00138224
158,431.93,1.0107,0.63806,1.02596,0.71058,0.64151,0.61556,0.20134,2.5077,1.33181,2.18109,0.00137828,0.00137828,0.00137828
159,434.444,0.96734,0.6387,1.00538,0.70025,0.62264,0.61011,0.19592,2.49167,1.3714,2.14814,0.00137432,0.00137432,0.00137432
160,436.907,0.99003,0.63926,1.01209,0.69037,0.56795,0.56898,0.18261,2.58973,1.35782,2.26616,0.00137036,0.00137036,0.00137036
161,439.185,0.95838,0.64227,0.98164,0.69037,0.56795,0.56898,0.18261,2.58973,1.35782,2.26616,0.0013664,0.0013664,0.0013664
162,441.465,0.97323,0.66205,1.03729,0.66221,0.62883,0.60744,0.20289,2.5495,1.34766,2.24059,0.00136244,0.00136244,0.00136244
163,443.886,0.96628,0.63591,1.00484,0.58911,0.70755,0.64387,0.22248,2.46776,1.36678,2.17782,0.00135848,0.00135848,0.00135848
164,446.283,1.0381,0.67072,1.03643,0.62504,0.66038,0.62967,0.23165,2.43589,1.36337,2.18996,0.00135452,0.00135452,0.00135452
165,448.578,1.08068,0.68578,1.04023,0.62504,0.66038,0.62967,0.23165,2.43589,1.36337,2.18996,0.00135056,0.00135056,0.00135056
166,450.943,1.00726,0.65415,1.03967,0.70692,0.65992,0.65139,0.24757,2.39605,1.31926,2.15446,0.0013466,0.0013466,0.0013466
167,453.414,0.95582,0.64756,1.00963,0.6901,0.64151,0.64632,0.24661,2.38263,1.35122,2.10779,0.00134264,0.00134264,0.00134264
168,455.856,1.07905,0.76204,1.06879,0.65203,0.61874,0.59214,0.21527,2.38338,1.43889,2.12272,0.00133868,0.00133868,0.00133868
169,458.138,1.02762,0.66858,1.02878,0.65203,0.61874,0.59214,0.21527,2.38338,1.43889,2.12272,0.00133472,0.00133472,0.00133472
170,460.424,0.96409,0.65105,1.0132,0.71927,0.63208,0.59006,0.21003,2.48627,1.39195,2.2081,0.00133076,0.00133076,0.00133076
171,462.72,0.97841,0.66751,1.00418,0.65105,0.66038,0.58332,0.19683,2.53882,1.28206,2.28096,0.0013268,0.0013268,0.0013268
172,465.184,0.99916,0.66345,1.02848,0.55396,0.66981,0.53169,0.16449,2.5497,1.37501,2.30349,0.00132284,0.00132284,0.00132284
173,467.464,1.02613,0.6541,1.0182,0.55396,0.66981,0.53169,0.16449,2.5497,1.37501,2.30349,0.00131888,0.00131888,0.00131888
174,469.791,1.0478,0.66812,1.05673,0.6307,0.59434,0.52452,0.17052,2.53783,1.4308,2.29221,0.00131492,0.00131492,0.00131492
175,472.479,0.98824,0.65982,1.03628,0.67528,0.59434,0.59017,0.18593,2.53902,1.34628,2.24108,0.00131096,0.00131096,0.00131096
176,474.883,0.99177,0.65703,1.02487,0.59673,0.72591,0.61429,0.18931,2.58003,1.27841,2.25995,0.001307,0.001307,0.001307
177,477.156,0.87856,0.61786,0.99175,0.59673,0.72591,0.61429,0.18931,2.58003,1.27841,2.25995,0.00130304,0.00130304,0.00130304
178,479.542,0.918,0.62477,0.99411,0.61255,0.70755,0.62908,0.2028,2.60826,1.2978,2.29154,0.00129908,0.00129908,0.00129908
